Latitude,-70,-70,-70,-70,-70,-70,-70,-70,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Longitude,180,200,220,240,260,280,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,200,220,240,260,280,320,340,0,40,60,80,100,160,180,200,220,240,260,280,320,340,0,40,60,80,100,160,180,200,220,240,260,280,340,0,60,80,100,120,140,160,180,200,220,240,260,280,340,0,60,80,140,160,180,200,220,240,260,280,320,340,60,100,120,140,160,180,200,220,240,260,280,320,340,120,140,160,180,200,220,240,280,300,320,340,140,160,180,200,220,240,300,320,340,20,140,160,180,200,220,300,320,340,160,180,200,220,320,340,0,20,160,180,280,300,320,340,0,40,60,180,240,260,300,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260
1949,-1.7837224,-1.8,-1.8,-1.5021381,-1.7207458,-1.8,-1.8,-1.8,-0.11473319,-0.017113209,0.4161377,0.7014482,1.070807,1.0256636,1.5367934,2.589953,2.9326255,4.3555107,2.4148896,1.6434543,3.663495,4.333417,5.200583,1.519196,-0.11787039,-0.14961267,3.471291,2.7257235,3.820912,4.3448944,4.504585,5.3281918,6.3802204,8.220752,10.43557,10.472597,10.51607,9.419639,8.699585,8.593271,9.399054,9.9918995,5.742751,4.5330243,14.227637,19.08408,16.95912,16.84868,15.798695,14.358547,14.591203,14.80511,17.372948,16.00127,16.377851,14.8139515,15.027941,16.539604,17.318092,14.545736,22.753788,24.696043,23.63989,23.388773,21.381165,23.065779,22.317429,22.058115,23.531189,22.043303,22.620953,20.286089,22.699978,23.123028,22.386578,27.658121,26.741158,26.115993,24.83029,26.799711,27.069954,26.819605,27.233597,25.911142,24.140486,20.69454,25.291235,24.141083,27.64503,27.847,27.775099,28.162823,27.927094,29.431477,29.310587,28.858616,28.170343,26.135939,23.29065,22.52656,25.044813,27.088272,27.455616,28.091072,28.271862,29.324749,28.158588,25.758625,25.234776,24.857115,24.124123,25.268415,27.173048,26.659466,25.93152,27.115053,26.649242,27.67009,27.717403,27.146015,26.319756,25.575287,26.785192,26.769562,26.938437,25.656273,24.47996,24.546331,26.012396,25.553886,25.238022,23.918789,22.06255,21.75664,26.683317,25.583927,24.342981,19.990133,20.681509,20.420427,19.802626,21.259865,18.436224,14.747435,21.706846,21.568336,20.066547,14.704588,9.908277,11.301702,12.169065,13.962251,13.302165,18.219456,16.698547,15.622613,0.81702185,3.8985593,5.2002964,5.891014,9.587433,11.447775,8.145638,2.9662318,-1.8,1.8441033,-1.8,-1.5354643,4.3995605,8.8321495,3.7903929,1.9923654,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1950,-1.3303759,-1.7599957,-1.8,-1.8,-1.7609968,-1.8,-1.8,-1.8,0.22713551,0.32030794,0.64156365,0.74203956,0.9924923,0.9739661,1.3188325,2.1963415,3.0696614,4.5284047,2.766333,1.6963414,3.0848145,3.811214,4.9595885,1.9621327,0.1918146,-0.05430633,3.4852219,3.0228872,3.901049,4.210336,4.6366615,5.7024226,6.668706,7.8583145,10.308629,11.552138,11.66368,9.7349615,8.399611,8.288267,10.310617,9.623802,4.882082,3.8252716,13.712559,18.85779,16.900574,16.554888,15.422423,14.665038,14.863971,14.397568,17.468414,17.376884,15.253987,15.057629,15.907432,16.433874,14.586344,13.175028,22.05797,24.499537,23.53659,22.992495,21.657005,23.448511,22.711964,22.236198,21.87928,23.114124,23.12867,19.775414,21.995567,22.488401,22.107079,27.725739,26.973505,25.737286,25.436905,26.76476,27.346731,27.321356,27.415592,25.941591,22.736063,20.70487,24.949589,24.531002,28.2132,28.436152,27.865793,28.6218,28.273441,28.95196,29.04149,28.68087,27.608717,25.198088,23.331945,21.329878,25.3867,27.463186,27.096924,28.138237,28.585035,28.625265,27.07098,25.062246,23.14277,22.023863,22.74295,25.426418,27.769575,26.908178,26.303125,27.353537,27.509459,28.043116,27.745773,27.119347,26.63752,25.582575,26.16641,26.596462,26.456985,25.939926,25.405945,25.041727,26.569153,26.613161,25.283323,24.238163,22.717426,22.00408,26.130947,24.526484,23.50497,20.501497,19.920403,20.235329,19.831837,20.448915,19.156258,15.256545,21.650068,20.179415,19.316813,14.540605,8.416142,11.5929575,12.307901,12.729253,13.221559,17.07998,17.140404,15.388873,0.8995718,4.34777,5.1648684,6.7877693,9.846426,11.395962,8.408502,2.3967307,-1.8,1.5796432,-1.8,-0.43161404,4.724517,8.728213,4.543903,3.2137957,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1951,-1.34953,-1.7530158,-1.8,-1.5586255,-1.7134902,-1.8,-1.8,-1.8,-0.10149875,0.06876606,0.648028,0.8193889,0.56302726,0.7596219,1.8347467,2.3438773,2.3579822,3.9659486,2.3584197,1.5772039,3.6897285,4.8092585,5.4125934,2.086673,0.1235078,-0.18052757,3.2048259,2.1548696,4.20641,5.4939775,4.3873568,4.772587,6.4521236,8.94923,10.48954,9.863364,10.010282,8.835838,8.628561,8.7707815,9.275628,9.384548,5.923161,4.734,13.682743,17.353739,17.583086,19.13671,16.429289,13.094994,14.875798,16.413748,17.953098,15.665988,14.731904,15.396383,15.802443,14.811422,16.702454,15.93186,20.143251,24.419373,24.484892,22.409887,19.942894,23.056154,23.229479,22.58615,23.344862,24.191084,22.322666,18.675308,24.066387,23.689419,20.85322,26.876955,26.536354,24.8584,24.333675,27.239096,28.19111,27.591185,27.338184,25.599323,22.262297,19.859142,23.517391,23.698305,27.488274,27.247776,27.793768,28.170835,28.446672,30.049122,29.08525,28.313105,27.000425,25.349064,23.742645,21.40643,24.857985,27.149075,27.369629,27.893915,28.874979,29.167147,27.177818,25.597805,24.13638,23.886253,24.698233,25.518738,26.987741,26.025028,25.813274,26.947918,26.549538,28.273882,28.065159,27.205917,26.757957,25.327868,25.81798,26.478558,26.912704,26.30922,25.792759,24.686462,25.971024,26.392218,25.663946,24.276236,23.71218,21.75841,25.976145,25.064573,23.920856,20.2195,19.91733,20.454262,20.20352,19.131355,19.725153,15.757519,21.707737,20.735098,19.365713,15.032075,10.822604,11.887526,12.912602,10.762007,11.962636,18.232098,18.221716,15.367908,0.48955953,3.8566232,4.4843936,6.043649,10.6701145,11.230565,7.2764373,2.3284326,-1.8,0.12507808,-1.8,-1.0027585,4.346414,8.393857,4.7976503,3.6501193,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1952,-1.2814237,-1.181261,-1.8,-1.3563515,-1.7056749,-1.8,-1.8,-1.8,0.22136784,0.30157205,0.7270646,1.0964803,1.124191,1.5155807,2.4698915,3.3662694,3.238833,5.140467,3.5457122,2.939291,4.7969203,5.31097,6.006301,2.9251587,-0.044763923,-0.23464829,3.3446991,3.0980868,4.010247,4.461785,4.5476,5.671544,7.0315957,8.616615,9.821447,10.059108,11.55277,10.620876,9.588782,9.027719,10.940802,10.601437,5.54541,3.9611764,13.379417,17.961208,16.19764,15.582732,14.695869,13.845198,14.981791,15.300993,16.76111,16.827753,16.716463,15.302013,15.213538,15.919432,15.227105,13.345161,22.677935,24.307257,22.39824,22.711468,21.214962,23.631634,22.890028,22.721632,22.99017,23.266916,23.238834,20.181736,22.033728,22.607037,22.355562,28.466042,26.953533,26.509007,23.977957,27.3274,27.612057,27.636982,27.435228,26.443764,23.738314,20.415178,25.047417,24.476847,28.44233,27.93399,27.552631,29.208155,29.440706,29.11833,29.315073,29.224651,28.337132,26.26258,24.537186,22.819796,25.237448,27.901875,27.434587,27.952988,28.545088,29.22635,28.512268,27.155174,25.850395,24.897953,25.082556,25.027468,27.722979,27.388334,26.29531,27.604237,27.213991,27.698402,27.742617,27.409292,26.674465,25.827261,27.038752,27.473585,27.068876,25.445286,24.120672,24.5808,26.149868,26.042856,25.444017,24.438986,22.175444,21.6556,26.597265,25.580297,24.130535,18.99567,19.668135,19.916616,19.82347,20.616638,19.007566,15.583549,21.940464,21.396164,18.94212,15.035063,9.8778925,12.120143,13.533075,13.072834,12.301599,18.018993,17.612978,15.283183,-0.13633704,4.135814,5.145015,6.252177,10.1467905,11.369443,7.387848,2.8762217,-1.8,1.1067019,-1.8,-0.9755048,3.9410112,8.112924,4.301354,3.8439565,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1953,-1.3708584,-1.3565274,-1.8,-1.8,-1.7628227,-1.8,-1.8,-1.8,-0.12594113,-0.042657316,0.26366663,0.60338056,0.61736405,0.6254376,1.4410367,2.238112,2.7451215,3.9963832,2.0404444,1.1238596,2.9911857,3.7849941,4.910116,1.8790674,0.100198746,-0.14124066,3.4190893,2.7337406,4.3392625,5.312436,4.765889,4.9175634,6.122581,8.579702,11.178378,11.089902,10.878971,9.106493,8.148602,8.337259,9.300935,10.624292,6.4343305,4.6602488,14.478716,19.05455,17.453342,18.060343,15.826944,13.22323,14.1177225,15.247998,17.805971,16.220526,14.845937,14.865042,15.127537,15.545837,17.769142,14.995831,22.7646,24.611498,23.772411,22.68303,20.372993,23.239761,22.174755,22.483315,22.318575,23.594534,22.942879,19.74909,23.55495,23.867836,22.164198,28.176884,26.684258,25.54193,23.827858,26.7714,27.827765,28.298136,27.853834,27.035997,23.913488,20.929548,25.055445,24.622974,28.108059,27.567093,27.503191,28.27714,28.86216,29.38799,29.467163,29.239124,28.29896,26.19662,23.97209,22.339,25.367273,27.170067,27.588165,28.026543,28.733065,28.976969,27.917383,27.100828,26.21063,25.034534,24.660385,25.630573,27.71534,26.328669,26.509012,27.360773,27.05863,28.188295,27.691229,26.996532,26.484661,25.836288,26.715565,26.91437,27.022606,26.358479,26.149403,24.463865,26.282385,26.432377,26.099117,24.40502,22.99903,21.666168,26.065737,25.542915,24.603977,20.788292,20.104414,19.81439,19.482756,19.696022,19.157064,15.949043,21.044312,20.761662,19.60191,14.150838,8.343225,11.562014,11.261805,10.750511,11.837661,17.482948,17.492178,15.718579,-0.45175624,3.396617,4.3407454,6.642251,11.739428,12.286613,7.8195343,1.5989017,-1.8,1.2347283,-1.8,0.15862256,4.5544224,9.3083,3.4606786,2.6181467,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1954,-1.3965712,-1.3996966,-1.8,-1.8,-1.7573692,-1.8,-1.8,-1.8,-0.31643316,-0.16291839,0.38689882,0.7745568,0.6832724,0.6241145,0.98061144,1.0403115,1.9862719,3.4695315,1.5033809,0.4826622,2.3840995,3.9822192,5.196366,2.3840106,0.43908787,-0.26756793,3.394511,2.5576577,3.684942,4.3957605,4.426592,5.3302274,6.328131,7.7840686,10.361584,10.523672,9.852958,8.276679,7.79016,8.384465,9.287037,10.518143,6.8042393,4.9490438,14.403208,18.08661,16.45577,16.508467,14.98294,13.95515,14.335203,14.775683,18.23876,15.698541,14.671675,14.733838,15.164057,15.240076,17.362984,15.090101,22.465193,24.578478,22.738464,22.24784,20.524363,24.02695,22.994299,22.45693,23.233923,23.329868,22.236832,18.957418,22.933382,23.59243,21.910103,28.373613,26.831373,26.36161,24.165272,27.062271,27.413555,27.49263,27.72373,25.678606,22.595726,19.310627,25.014442,23.858322,28.087599,27.856815,28.132431,28.908237,28.80323,29.060345,29.223007,29.421337,28.387497,25.856613,23.541723,20.514257,25.230824,27.151695,27.671478,28.107756,28.692957,28.73428,28.293678,28.02136,25.996418,24.71774,24.137592,24.46725,27.499708,26.486723,26.108326,27.795593,27.905355,28.025915,27.675076,27.075678,26.750254,25.835016,26.853281,27.268663,27.390753,25.950619,25.61375,25.211676,26.408144,26.535313,25.652489,24.723843,22.526775,21.321884,26.777798,25.668055,24.051016,20.130495,20.512676,20.530542,19.681448,19.69198,19.026304,15.358087,22.147526,20.85321,18.97689,14.421582,10.197704,11.678883,11.449012,11.249618,12.430702,17.746706,17.698412,15.6037245,0.29427218,4.006321,4.5501533,6.9955893,9.785737,12.0711355,8.49309,3.5706646,-1.8,0.81828076,-1.8,-0.51610553,4.1527176,9.1037,4.2049813,4.228385,-1.8,-1.8,-1.8,-1.8,-1.8,-1.7522119,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1955,-1.3388581,-1.3914868,-1.8,-1.8,-1.7439103,-1.8,-1.8,-1.8,0.018880516,0.11024296,0.6784886,0.78751147,0.79792285,1.1002996,1.4080042,1.3758719,2.162538,3.7371454,1.8128023,0.74480045,2.4705133,4.3081217,5.813353,3.0200305,0.6339594,-0.12317294,3.0884652,2.660552,3.3290346,3.7451856,3.3915305,5.3503284,6.545378,8.00456,10.509731,10.439619,10.399328,8.777494,7.7901993,8.658298,10.303915,10.763871,6.5530314,4.774108,13.186867,18.233198,17.008957,15.936053,15.202467,14.377308,14.930096,15.597427,18.118467,15.875411,15.337026,14.734039,15.681372,16.26596,16.574593,15.199791,21.727005,25.59664,24.784634,23.956661,20.704908,23.545647,22.157984,22.280031,23.294935,23.281391,22.613987,20.155527,23.064495,23.576387,21.558636,27.984854,27.90429,26.095778,24.293146,26.670149,26.783825,27.275303,26.708439,25.112017,22.770777,20.628027,24.688831,23.984354,28.492912,28.457159,28.261677,29.314533,28.8481,29.320118,28.98765,28.183632,26.896484,24.905365,22.95504,22.025623,25.466524,27.145336,27.561869,28.374714,28.685316,28.652376,27.57612,26.026947,24.954353,23.968145,24.22643,25.300325,27.61125,26.591251,26.468401,27.138422,26.528725,27.608974,27.67733,27.154102,26.502497,25.310974,26.100786,26.964924,27.061539,25.762754,26.0785,24.190243,25.50179,26.356812,25.927841,24.446144,22.75189,21.591934,26.330948,25.331858,23.849209,20.673544,19.605309,19.960373,19.531263,19.806158,19.052029,15.2458105,21.3627,20.74243,19.051886,14.768052,9.672743,11.030347,10.678213,11.037787,11.917244,17.202196,17.822165,15.851083,0.3934567,3.6935415,4.5060782,6.891164,10.989001,11.774612,7.59908,4.1998453,-1.8,-0.44675756,-1.8,-0.1147947,4.3618045,8.680083,3.975556,3.3885365,-1.8,-1.8,-1.8,-1.8,-1.8,-1.7667687,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
1956,-1.3028998,-1.1942596,-1.8,-1.3534148,-1.7018799,-1.8,-1.8,-1.8,-0.21323845,-0.049790323,0.54693615,0.89687324,0.86730856,1.0416491,1.6875352,2.5341666,3.0743961,4.138186,1.718265,1.8055165,4.515156,5.4439206,6.206073,3.1669335,0.402072,-0.27416652,3.8893209,3.4625492,4.207185,4.4675746,4.5643106,5.74394,6.896496,8.667484,11.067978,10.67932,9.705293,8.943903,9.74049,10.089008,10.427077,10.196185,6.3229017,5.005134,13.732669,18.587202,16.93539,16.01274,14.554688,14.378007,14.764315,15.33552,18.700071,15.374702,15.319109,17.092955,17.267199,15.733526,16.731892,14.976857,21.259212,24.198439,22.22673,21.704422,20.422491,23.636948,22.678808,22.013073,23.484383,24.559418,22.793253,19.883518,23.531288,22.877396,21.67883,27.644093,26.477448,25.6575,24.663809,27.260674,27.094051,26.885101,26.772438,25.411896,22.59724,21.298307,24.772242,24.044737,27.742952,27.636904,27.78573,28.707775,28.814238,29.427732,28.820784,27.79145,26.743912,24.736456,23.017166,21.75024,25.495224,27.328651,27.81068,27.759384,28.87569,28.687931,27.291279,25.297167,24.91908,24.205692,23.580524,24.745636,27.46942,26.122862,26.03439,26.911337,26.95637,27.779884,28.007608,27.388586,26.585104,25.207964,25.812319,26.420013,26.787176,26.515614,25.597729,24.25395,25.539946,25.675953,25.540352,24.92905,23.347315,21.109388,25.887396,25.59124,24.9575,20.867258,20.065836,20.134274,19.059296,20.076881,19.295624,15.322691,21.202158,21.279072,19.61803,15.226119,10.012281,13.434032,13.471201,11.321621,12.006358,16.326433,17.14994,15.110084,1.9294059,4.7961364,4.845285,6.1228495,10.057303,12.193861,7.57315,3.0826805,-1.8,0.67033166,-1.8,-0.29161924,5.032713,9.136959,3.6507027,2.8371708,-1.8,-1.8,-1.8,-1.8,-1.8,-1.0142752,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8
