Latitude,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-90,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-60,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-20,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Longitude,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340
1964,-2.862,-5.003333333,-6.528,-7.281666667,-7.142666667,-6.148,-4.408333333,-2.14,0.381333333,2.862,5.003333333,6.528,7.281666667,7.142666667,6.148,4.408333333,2.14,-0.381333333,-2.866333333,-2.143,1.104333333,3.648666667,4.357666667,2.707666667,-0.399666667,-3.455666667,-4.306333333,-2.555333333,-0.951666667,-1.228333333,-3.030333333,-3.546333333,-2.126666667,0.902666667,2.416,0.067666667,-3.248333333,-0.975666667,-1.641666667,-3.358,-4.266,-2.117333333,0.597333333,-1.154666667,-6.538333333,-6.542666667,-7.062666667,-9.700666667,-12.13933333,-13.36233333,-10.35733333,-5.337666667,-1.460333333,-2.151,-11.256,-9.984,-7.529333333,-10.27333333,-15.15433333,-14.42266667,-8.972333333,-8.519,-6.952666667,-4.445666667,-4.251,-5.602333333,-7.263666667,-5.194,-2.498333333,-4.549,-7.646666667,-10.47833333,-5.595,-0.147666667,2.329333333,-1.609,-10.579,-13.24233333,-11.87933333,-6.854,-3.258666667,0.031,5.395666667,5.100333333,3.270333333,3.059333333,0.671333333,-5.292333333,-12.49333333,-11.20366667,2.555333333,1.909333333,1.386,5.812333333,5.973,5.533,8.239,7.815666667,6.268666667,2.114,0.770666667,2.354,0.298,0.095333333,-0.161666667,-4.434666667,-7.147,-4.479333333,14.14666667,-1.382,-0.142,7.286,13.401,14.38333333,9.116333333,2.378,2.614666667,-2.757,-6.595666667,-1.277333333,0.318666667,3.874333333,3.615333333,1.956,7.146,17.54833333,4.329,2.213333333,-1.079666667,-3.104333333,-1.611666667,-1.078333333,-3.546666667,-5.265,-1.144333333,1.234,-0.727333333,0.194,1.880666667,5.909333333,1.494666667,3.290666667,9.846666667,8.125333333,-3.719333333,0.706666667,-1.253,-4.313333333,-3.618666667,-1.261666667,2.235666667,3.900333333,-0.229333333,1.276333333,5.011666667,2.092333333,-0.175,-2.425666667,-3.159333333,-0.771666667,-4.233666667,-8.007,-4.025666667,-3.588,-2.491,-3.515666667,-1.553666667,-2.892333333,-2.294333333,-2.009333333,-2.868333333,-1.238,3.083666667,2.617,-1.549,-1.654666667,-0.638666667,-3.483666667,-9.371333333,-7.448333333,-7.225666667,-6.408666667,-3.625333333,-0.854333333,1.8,2.321333333,1.574333333,1.446,-0.114,-2.657,-0.162,0.357333333,-1.824666667,-1.904,-3.202333333,-6.143,-8.281333333,-4.109,-4.009333333,-2.278,-2.930666667,-1.919333333,0.078666667,3.787,-1.293666667,-5.321333333,2.007333333,1.492666667,-5.104333333,1.133666667,-0.661,-0.185,-1.928666667,-3.583666667,-3.743666667,-5.403666667,-1.271,-1.527666667,-5.701,-3.159666667,0.718666667,-5.662333333,-8.045666667,-5.407333333,-5.521666667,-0.933333333,-3.304666667,-5.350333333,-1.763666667,-0.83,2.852,4.599333333,9.264666667,1.552,0.433,-0.891666667,1.919666667,4.432666667,-1.484,-4.107666667,3.614666667,7.181333333,6.192333333,-4.784666667,-6.929,-0.327333333,0.219,-1.833,-1.8,-3.536666667,-5.719,-3.53,0.188666667,-3.39,-0.643666667,-3.28,-2.67,1.217333333,5.329666667,5.451666667,-0.284666667,8.9,13.66466667,5.915,0.352,-2.533666667,-5.917666667,-0.914666667,-2.334666667,0.791333333,5.638666667,7.551333333,1.574666667,-3.734,-2.382333333,-0.625333333,-5.359666667,-4.845666667,-5.090333333,-3.033333333,0.048333333,-1.677333333,1.327,0.911666667,2.110666667,5.108,6.057333333,5.061,0.465666667,-0.303,3.204,4.188,1.895,3.122,4.397,1.997666667,3.430333333,5.016666667,2.365666667,-0.068,2.179,5.891,6.888,4.475333333,3.367,3.271666667,1.442666667,2.442333333,3.898,4.222,3.792666667,3.358333333,2.653666667,1.670666667,0.756666667,0.963666667,2.504666667,4.488666667,5.591333333,5.189,3.646,1.698333333,0.435666667,0.675
1965,-2.722,-5.063333333,-6.788,-7.701666667,-7.672666667,-6.728,-4.978333333,-2.62,0.061333333,2.722,5.063333333,6.788,7.701666667,7.672666667,6.728,4.978333333,2.62,-0.061333333,0.883666667,1.297,0.124333333,-0.751333333,-0.002333333,1.407666667,2.650333333,2.634333333,0.973666667,-0.075333333,0.538333333,2.861666667,5.939666667,7.353666667,5.783333333,1.822666667,-1.314,-0.972333333,-0.368333333,1.394333333,3.698333333,3.162,2.154,1.472666667,-0.292666667,-0.894666667,-1.768333333,-3.662666667,-4.232666667,-1.960666667,1.170666667,2.717666667,1.192666667,-1.437666667,-2.380333333,-2.501,-1.016,-1.084,-1.499333333,-1.893333333,-3.594333333,-4.822666667,-3.732333333,-2.509,-2.222666667,-2.755666667,-4.001,-8.342333333,-8.953666667,-7.044,-6.238333333,-3.719,-2.166666667,-0.398333333,-1.095,-0.417666667,3.789333333,3.111,-0.649,-2.422333333,0.110666667,1.146,-0.208666667,-0.019,-1.034333333,-5.869666667,-8.929666667,-6.920666667,-6.678666667,-4.592333333,2.946666667,1.946333333,0.695333333,0.249333333,-2.274,-1.797666667,2..0756666666666685,-2.098666667,-3.115333333,0.295666667,3.55,-1.258666667,-0.465666667,1.066,2.286,-7.007,-5.292,0.097333333,-0.024666667,-0.654,-3.752333333,-10.603,-3.461333333,-0.309,-0.009333333,-1.148,0.189333333,1.960666667,1.548666667,3.257,3.056333333,-2.071333333,-7.032666667,-0.297333333,2.965666667,-3.226333333,-1.491,-2.165,1.181333333,-0.203666667,-0.373666667,-2.213666667,0.999,4.202333333,-0.311,1.550333333,2.308666667,-2.892333333,0.884333333,0.502666667,5.588333333,3.856666667,1.085333333,1.129666667,-2.833666667,-2.92,-0.688,1.829333333,-3.025333333,5.962,-0.837,-5.551666667,1.549666667,-0.147333333,-1.244,-2.607666667,-8.265333333,-0.758666667,0.532333333,5.205333333,0.231,2.942666667,0.499,4.897,2.7,-1.306666667,-3.969,-3.06,-1.281333333,-0.66,-2.763666667,-9.68,-10.02,-1.902666667,2.699666667,-11.59833333,-8.094666667,-5.81,-9.235333333,-12.175,-0.398,1.186333333,5.032333333,7.785333333,6.435333333,-0.778666667,7.828666667,8.771333333,7.384666667,2.666,3.557666667,1.404666667,-1.759666667,9.514333333,4.139666667,0.046666667,7.748333333,5.232666667,3.677,1.031666667,0.460666667,0.498,3.877333333,4.881,0.985666667,-0.523,0.864,5.528,6.305,1.852,-1.433,1.417666667,0.870333333,1.996666667,4.245666667,6.802,3.949,1.211,-1.832,-0.224666667,1.917,2.251666667,-4.717333333,-5.477666667,-5.822,-4.748,-2.767333333,-1.321666667,-1.216333333,-1.679333333,-2.153333333,-2.686333333,-1.565333333,-0.661333333,-1.338666667,-2.121,-1.654,-1.001666667,-2.044333333,-3.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,-1.922,-3.113333333,-3.918,-4.251666667,-4.072666667,-3.408,-2.328333333,-0.98,0.501333333,1.922,3.113333333,3.918,4.251666667,4.072666667,3.408,2.328333333,0.98,-0.501333333,-1.716333333,-0.243,-1.515666667,-2.411333333,-1.952333333,-2.812333333,-3.999666667,-4.705666667,-5.216333333,-5.055333333,-3.781666667,-1.248333333,1.299666667,2.283666667,1.413333333,-0.557333333,-3.014,-3.852333333,-0.038333333,0.354333333,1.018333333,-0.028,-0.326,-0.007333333,-1.742666667,-2.044666667,-1.318333333,-2.292666667,-1.852666667,-0.100666667,-0.429333333,-3.572333333,-7.247333333,-7.877666667,-4.940333333,-2.051,-0.036,0.536,1.600666667,-0.253333333,-2.224333333,-2.062666667,-1.412333333,-0.999,-0.452666667,-0.985666667,-3.171,-2.752333333,-3.873666667,-7.034,-6.678333333,-5.749,-2.156666667,0.131666667,-0.225,-0.607666667,-1.400666667,-1.619,-1.999,-3.152333333,-2.169333333,-0.634,1.911333333,0.901,-3.654333333,-5.019666667,-1.639666667,-1.510666667,-2.208666667,-0.652333333,1.706666667,2.636333333,-4.814666667,-1.150666667,-1.714,-5.287666667,-0.417,-1.687,-1.241,-1.344333333,1.208666667,5.564,3.480666667,-4.376,-0.522,3.505333333,0.948333333,1.085333333,5.383,1.020666667,4.396666667,10.328,6.848,6.356,9.501,8.343333333,8.846333333,8.638,3.084666667,2.813,6.844333333,8.962666667,3.288666667,7.614333333,8.895333333,6.286,3.636,0.988333333,-2.441,-9.366666667,-6.869666667,-1.294333333,-3.631666667,-6.148333333,-1.886666667,-2.145,-4.544333333,-4.786,-1.377333333,1.574,-2.499333333,-3.860666667,0.154666667,0.430666667,-3.343333333,-3.154666667,-10.15933333,-8.343333333,-2.763,-4.243333333,-5.068666667,-2.891666667,-8.134333333,-6.819666667,-4.729333333,-4.563666667,-4.048333333,-4.777666667,-3.125,-5.765666667,-3.279333333,-3.171666667,-4.443666667,-5.987,-6.355666667,-3.088,-1.691,-1.925666667,-3.903666667,-4.132333333,-5.594333333,-3.219333333,-5.858333333,-5.458,-4.016333333,0.347,-0.479,-3.354666667,-6.188666667,0.966333333,-0.751333333,-5.678333333,-6.655666667,-4.348666667,-0.465333333,0.245666667,2.79,-1.758666667,-3.505666667,1.896,4.006,-3.037,0.168,-1.732666667,-2.844666667,-1.724,-4.342333333,-10.723,-3.071333333,-3.499,-0.629333333,-0.518,1.289333333,2.410666667,4.408666667,4.067,-3.423666667,-3.601333333,-1.312666667,-1.587333333,1.655666667,1.193666667,0.459,0.985,-0.918666667,-0.343666667,-6.123666667,-2.633666667,2.739,-0.237666667,-2.691,-4.909666667,-5.901333333,-5.062333333,-2.315666667,4.902666667,-5.781666667,-0.343333333,1.505333333,-1.210333333,3.886333333,-1.63,-0.758,2.189333333,4.634666667,4.192,-2.257,-4.611666667,-7.310333333,-11.64733333,-9.314,-13.27766667,-9.445333333,-6.318666667,-8.677666667,1.165333333,-0.559,-9.467333333,-11.851,1.537,-3.84,-5.836666667,-0.059,0.29,-3.841333333,-0.63,-0.113666667,-1.93,-2.79,4.607333333,-0.000333333,-7.298333333,2.815333333,-1.1,-4.305333333,0.225,6.552,3.646333333,5.412333333,-3.504666667,-7.194666667,-6.858666667,2.138666667,2.321333333,2.324666667,4.326,7.597666667,6.274666667,3.640333333,-6.825666667,-3.340333333,-3.963333333,1.418333333,9.182666667,2.087,-3.148333333,4.540666667,7.008,6.417333333,5.591,1.235666667,2.417,4.794,9.058,5.475,2.492,7.867,10.04766667,8.490333333,2.526666667,0.375666667,1.792,-0.291,-1.779,0.118,1.745333333,0.227,1.081666667,0.622666667,0.072333333,0.888,1.902,0.622666667,-0.531666667,1.123666667,4.280666667,5.186666667,3.563666667,1.854666667,1.458666667,0.891333333,-0.421,-1.754,-1.761666667,-0.694333333,0.015
1953,2.498,0.586666667,-1.388,-3.191666667,-4.622666667,-5.488,-5.688333333,-5.21,-4.108666667,-2.498,-0.586666667,1.388,3.191666667,4.622666667,5.488,5.688333333,5.21,4.108666667,0.313666667,2.707,3.034333333,2.468666667,5.117666667,7.067666667,4.690333333,1.504333333,1.233666667,3.714666667,6.608333333,9.071666667,7.969666667,2.703666667,-2.726666667,-5.087333333,-4.774,-2.442333333,-0.628333333,-1.535666667,-0.741666667,1.622,5.404,6.752666667,0.987333333,-4.804666667,-4.628333333,-3.042666667,2.487333333,4.799333333,0.690666667,-4.472333333,-7.297333333,-6.867666667,-6.360333333,-4.131,-7.246,-10.164,-9.869333333,-7.373333333,-3.714333333,-2.592666667,-5.212333333,-6.499,-8.112666667,-9.925666667,-7.671,-6.862333333,-11.67366667,-11.534,-8.278333333,-5.839,-4.726666667,-3.478333333,-0.375,-4.897666667,-6.700666667,-10.429,-12.489,-10.51233333,-5.429333333,-1.564,-0.368666667,-2.689,-8.824333333,-12.11966667,-11.64966667,-3.190666667,1.371333333,-0.352333333,-0.083333333,2.536333333,2.015333333,6.359333333,10.036,2.582333333,-0.977,-2.377,5.949,10.61566667,3.498666667,5.634,-1.819333333,-11.816,-6.252,7.705333333,8.718333333,2.435333333,4.713,4.540666667,8.776666667,11.788,12.138,6.636,4.161,0.923333333,-0.813666667,-0.442,-0.635333333,6.023,9.274333333,7.212666667,13.47866667,15.32433333,8.665333333,1.176,8.026,9.538333333,-8.521,-10.11666667,-5.869666667,-1.484333333,0.308333333,-1.938333333,-3.266666667,-4.385,1.745666667,-0.126,4.492666667,10.074,5.030666667,-1.120666667,-1.795333333,1.330666667,0.646666667,-4.414666667,-12.23933333,-10.07333333,-7.953,-2.573333333,0.731333333,-1.821666667,-2.594333333,-3.849666667,-3.839333333,-3.893666667,-3.278333333,1.122333333,-3.555,-4.655666667,0.500666667,1.478333333,-12.41366667,-16.547,-8.025666667,-4.688,-5.111,-0.875666667,-1.533666667,-2.582333333,-2.744333333,-3.769333333,-7.788333333,-9.078,-5.986333333,-3.363,3.121,-3.484666667,-6.858666667,-3.963666667,-12.49133333,-12.53833333,-7.385666667,-6.768666667,-3.755333333,-0.904333333,4.66,1.641333333,0.204333333,1.066,2.316,-5.877,-2.222,-3.602666667,-1.664666667,-0.094,-5.772333333,-12.643,-6.941333333,-4.809,-5.279333333,-2.288,-1.550666667,-1.029333333,0.618666667,-1.093,-3.853666667,-5.131333333,-5.572666667,2.922666667,-5.824333333,-1.286333333,-2.201,-2.585,1.041333333,-5.003666667,-3.683666667,-4.563666667,1.879,-2.937666667,1.799,-2.569666667,-4.251333333,-2.292333333,-4.895666667,1.952666667,2.088333333,0.586666667,3.865333333,-1.020333333,-2.863666667,0.44,-1.058,5.289333333,2.624666667,-3.168,-0.937,-4.781666667,-7.900333333,-4.837333333,-6.714,-6.587666667,-0.115333333,-5.418666667,-5.967666667,0.775333333,10.951,4.032666667,0.489,-0.603,0.52,-3.816666667,-1.659,2.23,8.678666667,4.95,-4.453666667,-2.96,0.87,-1.332666667,-0.150333333,-1.578333333,-2.164666667,-4.88,-8.255333333,-0.555,8.012,3.206333333,0.072333333,3.545333333,7.985333333,14.42133333,-4.901333333,5.131333333,5.254666667,3.296,1.537666667,0.964666667,-1.049666667,1.714333333,0.479666667,-2.703333333,-6.091666667,-3.727333333,-3.633,-3.038333333,-0.659333333,0.218,-5.642666667,-8.059,-1.694333333,-1.113,2.684,1.828,1.865,0.392,-2.163,-2.462333333,4.020333333,7.476666667,6.215666667,4.792,3.679,2.271,0.628,-0.574666667,-3.533,-4.208333333,-1.037333333,-0.457666667,1.848,3.082,4.722666667,7.258333333,7.443666667,5.340666667,3.496666667,2.543666667,1.424666667,1.278666667,2.081333333,3.679,4.896,5.808333333,6.155666667,2.435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
